index,longitude,latitude,range,subset
272,-3.964248149,-81.59329368,54.59577032,low
384,-4.809859384,-85.37637862,82.8085719,low
320,-1.84327495,-76.25396331,99.25769336,low
432,-1.345678823,-75.24578948,96.76434212,low
482,49.12803528,-73.85925454,45.61130535,low
378,-5.219663165,-89.00743122,101.4633568,low
327,-4.773002256,-84.33917857,70.81422115,low
318,-5.112612384,-85.61293803,96.0692526,low
290,-3.774762396,-79.81950069,88.48278084,low
715,153.8103573,-80.68772,92.39251987,median
664,153.4597986,-79.29420171,15.64322521,median
568,151.9880609,-81.30575142,153.1288355,median
663,155.3415005,-82.0334303,97.01266557,median
785,155.7527897,-79.99522431,37.19316415,median
753,155.9431258,-79.90733806,30.7008178,median
633,153.9661684,-78.38895741,120.0092536,median
700,156.0386733,-79.78842687,51.36047997,median
713,151.6356647,-79.36534653,107.8531606,median
580,156.3508009,-79.83465019,39.45057144,median
903,156.4110045,-79.71547749,123.228442,median
549,154.30801,-83.52344305,93.94961774,median
609,156.6435689,-81.22738206,140.3080577,median
895,152.9546774,-77.51415149,81.70050095,median
806,151.6364711,-78.22110857,110.7980497,median
840,151.4398842,-83.51043419,91.64886386,median
805,157.6856977,-79.59185658,144.2089178,median
862,152.8599094,-84.8147718,126.0279208,median
575,150.0267642,-78.64705712,61.53416856,median
540,149.8331434,-82.41535934,105.543294,median
569,156.5714432,-84.10825648,52.50606108,median
536,156.4737568,-77.13632151,81.72901078,median
720,150.9049119,-84.20133774,55.5589267,median
783,149.6798164,-78.67659517,42.74590341,median
807,157.3971561,-77.81169296,40.61990498,median
571,149.5781947,-82.65163704,97.2088825,median
669,155.1692206,-76.18714334,101.523412,median
948,148.9767028,-81.0128613,50.12009381,median
557,149.6634007,-78.1720362,114.5597133,median
707,155.8651625,-76.20405164,93.87962889,median
822,158.029739,-78.00914754,88.96129054,median
842,156.5351142,-76.44179961,52.42417483,median
960,152.0015307,-75.90516292,78.65481631,median
799,152.3075199,-75.67816427,79.72802914,median
841,159.0770393,-81.45274699,11.05260086,median
738,152.7132512,-75.45583328,78.76512141,median
598,158.5014026,-83.31189537,62.37572334,median
921,159.2246543,-80.52025431,142.3393324,median
794,150.0930117,-84.92296248,42.72734629,median
798,153.6470526,-75.03090066,102.2453777,median
674,154.0090702,-75.01089047,93.36205921,median
945,152.02447,-75.26163679,27.39360513,median
896,152.3652948,-75.04340857,70.11110616,median
838,148.5435434,-83.38230017,117.058453,median
726,148.9670549,-77.08673873,38.98676241,median
564,149.8595315,-85.27263237,95.64767549,median
924,149.3010821,-84.97620215,71.67720589,median
735,159.6032258,-82.98340604,92.76174287,median
710,157.9411071,-85.50300493,110.3365864,median
819,159.0020949,-84.36495012,81.01366554,median
